Filename|Target|CorrectAnswer
5animal||Yes
5unhappy||Yes
5hyporosis||No
5repulf||No
5consumer||Yes
5feminine||Yes
5alanco||No
5commuser||No
5formula||Yes
5connecy||No
5anarchy||Yes
5assiliple||No
5emotional||Yes
5capisol||No
5review||Yes
5afrocave||No
5veasily||No
5opinion||Yes
5vehicle||Yes
5serious||Yes
5esorlous||No
5civilian||Yes
5comisil||No
5fersicuum||No
5polaris||Yes
5pefensive||No
5funshire||No
5phenomenon||Yes
5invipon||No
5allowance||Yes
5anafomy||No
5foletion||No
5specialize||Yes
5scenery||Yes
5casimo||No
5commiffee||No
5horizon||Yes
5salesman||Yes
5vameness||No
5hawvish||No
5essential||Yes
5sympavy||No
5memorize||Yes
5usually||Yes
5creror||No
5ophanic||No
5zanfarin||No
5pessimism||Yes
5faserial||No
5cohesive||Yes
5anyrow||No
5luvasive||No
5forever||Yes
5careful||Yes
5heroism||Yes
5compoosion||No
5sorifon||No
5philosopher||Yes
5uncerfin||No
5salvary||No
5resonance||Yes
5vumorous||No
5afome||No
5enormously||Yes
5fralivil||No
5renesiv||No
5unruly||Yes
5imanery||No
5emperor||Yes
5ronaly||No
5cluffly||No
5seemingly||Yes
5hoiver||No
5infancy||Yes
5civil||Yes
5european||Yes
5usopia||No
5camera||Yes
5crovacy||No
5harmony||Yes
5vircular||No
5accomplish||Yes
5reappear||Yes
5smerio||No
5universal||Yes
5simery||No
5caravan||Yes
5hoopiver||No
5american||Yes
5merosie||No
5hallucination||Yes
5cemenery||No
5anonymous||Yes
5accuracy||Yes
5renaissance||Yes
5finizen||No
5harness||Yes
5nuclear||Yes
5rassipal||No
5afacus||No
5receiver||Yes
5infrish||No
5finance||Yes
5occury||No
5neliver||No
5reasoning||Yes
5paffenser||No
5finally||Yes
5company||Yes
5initially||Yes
5neramis||No
5safari||Yes
5listener||Yes
5eseven||No
5smavery||No
5assurance||Yes
5arrival||Yes
5amolish||No
5acrosas||No
5mercury||Yes
5asoral||No
5anaconva||No
5alliance||Yes
5concipher||No
5vacuum||Yes
5luminous||Yes
5lipron||No
5memory||Yes
5falimia||No
5enfline||No
5pioneer||Yes
5wilfully||Yes
5soloramo||No
5monsero||No
5funeral||Yes
5vommonly||No
5numerous||Yes
5liramis||No
5almerian||No
5reconcile||Yes
5sonference||No
5zeneva||No
5unlikely||Yes
5partially||Yes
5memorfis||No
5alcohol||Yes
5hamiral||No
5flokira||No
5informal||Yes
5clinical||Yes
5oserver||No
5mascara||Yes
5similar||Yes
5asyluff||No
5imifation||No
5composer||Yes
5feerray||No
5newspaper||Yes
5avanar||No
5arrofral||No
5verify||Yes
5manover||No
5silemma||No
5aluminum||Yes
5faulosical||No
5avenue||Yes
5musfular||No
5confipence||No
5exclusion||Yes
5hangover||Yes
5enemy||Yes
5veleran||No
5afforney||No
5premier||Yes
5symphony||Yes
5monopoly||Yes
5kismosis||No
5amazing||Yes
5awfully||Yes
5privacy||Yes
