Filename|Target|CorrectAnswer
5animal||Yes
5unhappy||Yes
5hyporosis||No
5repulf||No
5consumer||Yes
5feminine||Yes
5alanco||No
5commuser||No
5formula||Yes
5connecy||No
5unmarried||Yes
5assiliple||No
5emotional||Yes
5capisol||No
5preconceived||Yes
5afrocave||No
5veasily||No
5opinion||Yes
5vehicle||Yes
5reserved||Yes
5esorlous||No
5civilian||Yes
5comisil||No
5fersicuum||No
5polaris||Yes
5pefensive||No
5funshire||No
5emerald||Yes
5invipon||No
5allowance||Yes
5anafomy||No
5foletion||No
5unemployed||Yes
5scenery||Yes
5casimo||No
5commiffee||No
5horizon||Yes
5marinade||Yes
5vameness||No
5hawvish||No
5essential||Yes
5sympavy||No
5episode||Yes
5usually||Yes
5creror||No
5ophanic||No
5zanfarin||No
5recommend||Yes
5faserial||No
5cohesive||Yes
5anyrow||No
5luvasive||No
5forever||Yes
5careful||Yes
5likelihood||Yes
5compoosion||No
5sorifon||No
5philosopher||Yes
5uncerfin||No
5salvary||No
5apprehend||Yes
5vumorous||No
5afome||No
5enormously||Yes
5fralivil||No
5renesiv||No
5qualified||Yes
5imanery||No
5emperor||Yes
5ronaly||No
5cluffly||No
5seemingly||Yes
5hoiver||No
5infancy||Yes
5reverend||Yes
5european||Yes
5usopia||No
5camera||Yes
5crovacy||No
5harmony||Yes
5vircular||No
5accomplish||Yes
5railroad||Yes
5smerio||No
5universal||Yes
5simery||No
5comprehend||Yes
5hoopiver||No
5american||Yes
5merosie||No
5hallucination||Yes
5cemenery||No
5haphazard||Yes
5accuracy||Yes
5renaissance||Yes
5finizen||No
5coincide||Yes
5nuclear||Yes
5rassipal||No
5afacus||No
5receiver||Yes
5infrish||No
5finance||Yes
5occury||No
5neliver||No
5alongside||Yes
5paffenser||No
5finally||Yes
5company||Yes
5initially||Yes
5neramis||No
5pyramid||Yes
5listener||Yes
5eseven||No
5smavery||No
5assurance||Yes
5arrival||Yes
5amolish||No
5acrosas||No
5household||Yes
5asoral||No
5anaconva||No
5alliance||Yes
5concipher||No
5unparalleled||Yes
5luminous||Yes
5lipron||No
5memory||Yes
5falimia||No
5enfline||No
5pioneer||Yes
5riverside||Yes
5soloramo||No
5monsero||No
5funeral||Yes
5vommonly||No
5numerous||Yes
5liramis||No
5almerian||No
5unprepared||Yes
5sonference||No
5zeneva||No
5lemonade||Yes
5partially||Yes
5memorfis||No
5alcohol||Yes
5hamiral||No
5flokira||No
5invalid||Yes
5clinical||Yes
5oserver||No
5correspond||Yes
5similar||Yes
5asyluff||No
5imifation||No
5overhead||Yes
5feerray||No
5newspaper||Yes
5avanar||No
5arrofral||No
5command||Yes
5manover||No
5silemma||No
5aluminum||Yes
5faulosical||No
5avenue||Yes
5musfular||No
5confipence||No
5concerned||Yes
5hangover||Yes
5enemy||Yes
5veleran||No
5afforney||No
5profound||Yes
5symphony||Yes
5monopoly||Yes
5kismosis||No
5amazing||Yes
5overload||Yes
5privacy||Yes
