Filename|Target|CorrectAnswer
mogmet||no
apolm||no
arnuff||no
bambany||no
bimobel||no
blial||no
danoor||no
follipocktel||no
gamtee||no
gippelfraw||no
gittle||no
golthin||no
gompy||no
hammertrent||no
hovear||no
igoldion||no
kempel||no
kire||no
kowack||no
lindel||no
motpem||no
nartomy||no
neproyave||no
noler||no
nonifem||no
pammin||no
pidbar||no
poara||no
pomto||no
prickpor||no
radadub||no
rinbel||no
ripnem||no
rudle||no
tankfole||no
tello||no
theely||no
thragkole||no
tingora||no
tirack||no
tovey||no
tuckib||no
tutrewy||no
wekker||no
yovernon||no
usher||yes
sunroof||yes
silver||yes
shovel||yes
shampoo||yes
safari||yes
popcorn||yes
pharmacy||yes
package||yes
napkin||yes
movie||yes
monocle||yes
minivan||yes
militia||yes
mansion||yes
machine||yes
eruption||yes
currency||yes
collar||yes
chaperone||yes
celery||yes
castle||yes
carousel||yes
camel||yes
auction||yes
acorn||yes
sugar||yes
lumber||yes
goalie||yes
galaxy||yes
cowboy||yes
buckle||yes
bookshelf||yes
balloon||yes
traffic||yes
tortilla||yes
tire||yes
taxi||yes
table||yes
shelter||yes
ponytail||yes
motel||yes
graffiti||yes
charlatan||yes
dryer||yes
